"ID","session","midterm","quiz_1","quiz_2","quiz_3"
186,"國立臺灣大學修課學生 (ECON2022-03)","68.00","18.00","27.00","16.00"
187,"衛星課程協同教師、助教","","","",""
188,"國立臺灣大學修課學生 (ECON2022-03)","32.00","19.00","16.00","5.00"
189,"國立臺灣大學修課學生 (ECON2022-03)","64.00","16.00","21.00","16.00"
190,"衛星課程協同教師、助教","","","",""
191,"國立中山大學","","","",""
192,"衛星課程協同教師、助教","","","",""
193,"衛星課程協同教師、助教","","","",""
194,"國立中山大學","","","",""
195,"國立臺灣大學修課學生 (ECON2022-03)","65.00","21.00","","12.00"
196,"TAICA 計畫辦公室, 中原大學, 中國醫藥大學, 亞洲大學, 元智大學, 南臺科技大學, 國立中央大學, 國立中山大學, 國立中正大學, 國立中興大學, 國立勤益科技大學, 國立嘉義大學, 國立宜蘭大學, 國立彰化師範大學, 國立成功大學, 國立政治大學, 國立東華大學, 國立清華大學, 國立空中大學, 國立聯合大學, 國立臺中科技大學, 國立臺北大學, 國立臺北科技大學, 國立臺南大學, 國立臺灣大學修課學生 (ECON2022-03), 國立臺灣師範大學, 國立臺灣海洋大學, 國立臺灣科技大學, 國立虎尾科技大學, 國立金門大學, 國立陽明交通大學, 國立雲林科技大學, 國立高雄大學, 國立高雄師範大學, 國立高雄科技大學, 大同大學, 實踐大學, 崑山科技大學, 慈濟大學, 明志科技大學, 朝陽科技大學, 東吳大學, 東海大學, 正修科技大學, 淡江大學, 研究生, 致理科技大學, 臺北醫學大學, 衛星課程協同教師、助教, 輔仁大學, 逢甲大學, 銘傳大學, 長庚大學, 長榮大學, 開南大學, 靜宜大學, 高雄醫學大學, and 龍華科技大學","","","",""
